Driver,Team,LapTime,Compound,TyreLife,FreshTyre,Stint,TrackStatus,Sector1Time,Sector2Time,Sector3Time,Deleted,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,Position,GridPosition,GP,Year
ALB,Williams,0 days 00:01:32.664000,SOFT,2.0,True,5.0,1,0 days 00:00:29.564000,0 days 00:00:39.897000,0 days 00:00:23.203000,False,92.664,29.564,39.897,23.203,13.0,14.0,Bahrain Grand Prix,2022
ALO,Alpine,0 days 00:01:31.621000,SOFT,2.0,True,4.0,1,0 days 00:00:29.306000,0 days 00:00:39.305000,0 days 00:00:23.010000,False,91.621,29.306,39.305,23.01,9.0,8.0,Bahrain Grand Prix,2022
BOT,Alfa Romeo,0 days 00:01:31.560000,SOFT,2.0,True,5.0,1,0 days 00:00:29.203000,0 days 00:00:39.296000,0 days 00:00:23.061000,False,91.56,29.203,39.296,23.061,6.0,6.0,Bahrain Grand Prix,2022
GAS,AlphaTauri,0 days 00:01:31.635000,SOFT,2.0,True,5.0,1,0 days 00:00:29.253000,0 days 00:00:39.335000,0 days 00:00:23.047000,False,91.635,29.253,39.335,23.047,20.0,10.0,Bahrain Grand Prix,2022
HAM,Mercedes,0 days 00:01:31.048000,SOFT,2.0,True,3.0,1,0 days 00:00:29.100000,0 days 00:00:39.038000,0 days 00:00:22.910000,False,91.048,29.1,39.038,22.91,3.0,5.0,Bahrain Grand Prix,2022
HUL,Aston Martin,0 days 00:01:32.777000,SOFT,2.0,True,2.0,1,0 days 00:00:29.833000,0 days 00:00:39.760000,0 days 00:00:23.184000,False,92.777,29.833,39.76,23.184,17.0,17.0,Bahrain Grand Prix,2022
LAT,Williams,0 days 00:01:33.634000,SOFT,2.0,True,2.0,1,0 days 00:00:29.810000,0 days 00:00:40.495000,0 days 00:00:23.329000,False,93.634,29.81,40.495,23.329,16.0,20.0,Bahrain Grand Prix,2022
LEC,Ferrari,0 days 00:01:30.558000,SOFT,2.0,True,5.0,1,0 days 00:00:29.115000,0 days 00:00:38.702000,0 days 00:00:22.741000,False,90.558,29.115,38.702,22.741,1.0,1.0,Bahrain Grand Prix,2022
MAG,Haas F1 Team,0 days 00:01:31.461000,SOFT,2.0,True,3.0,1,0 days 00:00:29.391000,0 days 00:00:39.191000,0 days 00:00:22.879000,False,91.461,29.391,39.191,22.879,5.0,7.0,Bahrain Grand Prix,2022
MSC,Haas F1 Team,0 days 00:01:31.998000,SOFT,2.0,True,3.0,1,0 days 00:00:29.538000,0 days 00:00:39.430000,0 days 00:00:23.030000,False,91.998,29.538,39.43,23.03,11.0,12.0,Bahrain Grand Prix,2022
NOR,McLaren,0 days 00:01:32.008000,SOFT,2.0,True,4.0,1,0 days 00:00:29.544000,0 days 00:00:39.355000,0 days 00:00:23.109000,False,92.008,29.544,39.355,23.109,15.0,13.0,Bahrain Grand Prix,2022
OCO,Alpine,0 days 00:01:31.782000,SOFT,2.0,True,3.0,1,0 days 00:00:29.407000,0 days 00:00:39.294000,0 days 00:00:23.081000,False,91.782,29.407,39.294,23.081,7.0,11.0,Bahrain Grand Prix,2022
PER,Red Bull Racing,0 days 00:01:30.921000,SOFT,2.0,True,6.0,1,0 days 00:00:29.180000,0 days 00:00:38.894000,0 days 00:00:22.847000,False,90.921,29.18,38.894,22.847,18.0,4.0,Bahrain Grand Prix,2022
RIC,McLaren,0 days 00:01:32.945000,SOFT,2.0,True,2.0,1,0 days 00:00:29.763000,0 days 00:00:39.862000,0 days 00:00:23.320000,False,92.945,29.763,39.862,23.32,14.0,18.0,Bahrain Grand Prix,2022
RUS,Mercedes,0 days 00:01:31.252000,SOFT,2.0,True,3.0,1,0 days 00:00:29.197000,0 days 00:00:39.104000,0 days 00:00:22.951000,False,91.252,29.197,39.104,22.951,4.0,9.0,Bahrain Grand Prix,2022
SAI,Ferrari,0 days 00:01:30.687000,SOFT,2.0,True,4.0,1,0 days 00:00:29.036000,0 days 00:00:38.842000,0 days 00:00:22.809000,False,90.687,29.036,38.842,22.809,2.0,3.0,Bahrain Grand Prix,2022
STR,Aston Martin,0 days 00:01:33.032000,SOFT,2.0,True,2.0,1,0 days 00:00:29.906000,0 days 00:00:39.844000,0 days 00:00:23.282000,False,93.032,29.906,39.844,23.282,12.0,19.0,Bahrain Grand Prix,2022
TSU,AlphaTauri,0 days 00:01:32.750000,SOFT,2.0,True,3.0,1,0 days 00:00:29.724000,0 days 00:00:39.811000,0 days 00:00:23.215000,False,92.75,29.724,39.811,23.215,8.0,16.0,Bahrain Grand Prix,2022
VER,Red Bull Racing,0 days 00:01:30.681000,SOFT,2.0,True,4.0,1,0 days 00:00:28.970000,0 days 00:00:38.832000,0 days 00:00:22.879000,False,90.681,28.97,38.832,22.879,19.0,2.0,Bahrain Grand Prix,2022
ZHO,Alfa Romeo,0 days 00:01:32.387000,SOFT,2.0,True,4.0,1,0 days 00:00:29.493000,0 days 00:00:39.829000,0 days 00:00:23.065000,True,92.387,29.493,39.829,23.065,10.0,15.0,Bahrain Grand Prix,2022
SAI,Ferrari,0 days 00:01:13.670000,SOFT,2.0,False,5.0,1,,0 days 00:00:33.035000,0 days 00:00:31.369000,False,73.67,,33.035,31.369,3.0,3.0,Saudi Arabian Grand Prix,2022
ALB,Williams,0 days 00:01:20.135000,SOFT,2.0,True,2.0,1,0 days 00:00:27.401000,0 days 00:00:18.067000,0 days 00:00:34.667000,False,80.135,27.401,18.067,34.667,10.0,20.0,Australian Grand Prix,2022
ALO,Alpine,0 days 00:01:18.815000,SOFT,2.0,True,3.0,12,0 days 00:00:27.015000,0 days 00:00:17.780000,0 days 00:00:34.020000,False,78.815,27.015,17.78,34.02,17.0,10.0,Australian Grand Prix,2022
BOT,Alfa Romeo,0 days 00:01:19.251000,SOFT,4.0,True,1.0,1,0 days 00:00:27.193000,0 days 00:00:18.019000,0 days 00:00:34.039000,False,79.251,27.193,18.019,34.039,8.0,12.0,Australian Grand Prix,2022
GAS,AlphaTauri,0 days 00:01:19.226000,SOFT,5.0,False,4.0,12,0 days 00:00:27.317000,0 days 00:00:18.086000,0 days 00:00:33.823000,False,79.226,27.317,18.086,33.823,9.0,11.0,Australian Grand Prix,2022
HAM,Mercedes,0 days 00:01:18.825000,SOFT,5.0,True,6.0,1,0 days 00:00:26.975000,0 days 00:00:18,0 days 00:00:33.850000,False,78.825,26.975,18.0,33.85,4.0,5.0,Australian Grand Prix,2022
LAT,Williams,0 days 00:01:21.372000,SOFT,4.0,True,1.0,12,0 days 00:00:27.719000,0 days 00:00:18.192000,0 days 00:00:35.461000,False,81.372,27.719,18.192,35.461,16.0,18.0,Australian Grand Prix,2022
LEC,Ferrari,0 days 00:01:17.868000,SOFT,3.0,True,5.0,1,0 days 00:00:26.740000,0 days 00:00:17.786000,0 days 00:00:33.342000,False,77.868,26.74,17.786,33.342,1.0,1.0,Australian Grand Prix,2022
MAG,Haas F1 Team,0 days 00:01:20.254000,SOFT,2.0,True,2.0,1,0 days 00:00:27.859000,0 days 00:00:18.237000,0 days 00:00:34.158000,False,80.254,27.859,18.237,34.158,14.0,16.0,Australian Grand Prix,2022
MSC,Haas F1 Team,0 days 00:01:20.104000,SOFT,2.0,True,2.0,1,0 days 00:00:27.352000,0 days 00:00:18.273000,0 days 00:00:34.479000,False,80.104,27.352,18.273,34.479,13.0,15.0,Australian Grand Prix,2022
NOR,McLaren,0 days 00:01:18.703000,SOFT,2.0,True,5.0,1,0 days 00:00:27.047000,0 days 00:00:17.991000,0 days 00:00:33.665000,False,78.703,27.047,17.991,33.665,5.0,4.0,Australian Grand Prix,2022
OCO,Alpine,0 days 00:01:19.061000,SOFT,2.0,True,7.0,1,0 days 00:00:26.960000,0 days 00:00:17.963000,0 days 00:00:34.138000,False,79.061,26.96,17.963,34.138,7.0,8.0,Australian Grand Prix,2022
PER,Red Bull Racing,0 days 00:01:18.240000,SOFT,2.0,True,4.0,1,0 days 00:00:26.845000,0 days 00:00:17.760000,0 days 00:00:33.635000,False,78.24,26.845,17.76,33.635,2.0,3.0,Australian Grand Prix,2022
RIC,McLaren,0 days 00:01:19.032000,SOFT,5.0,False,6.0,1,0 days 00:00:27.143000,0 days 00:00:18.066000,0 days 00:00:33.823000,False,79.032,27.143,18.066,33.823,6.0,7.0,Australian Grand Prix,2022
RUS,Mercedes,0 days 00:01:18.933000,SOFT,5.0,True,6.0,1,0 days 00:00:27.037000,0 days 00:00:18.050000,0 days 00:00:33.846000,False,78.933,27.037,18.05,33.846,3.0,6.0,Australian Grand Prix,2022
SAI,Ferrari,0 days 00:01:18.469000,SOFT,5.0,True,3.0,1,0 days 00:00:27.010000,0 days 00:00:17.772000,0 days 00:00:33.687000,False,78.469,27.01,17.772,33.687,20.0,9.0,Australian Grand Prix,2022
TSU,AlphaTauri,0 days 00:01:19.424000,SOFT,4.0,True,5.0,1,0 days 00:00:27.079000,0 days 00:00:18.098000,0 days 00:00:34.247000,False,79.424,27.079,18.098,34.247,15.0,13.0,Australian Grand Prix,2022
VER,Red Bull Racing,0 days 00:01:18.154000,SOFT,2.0,True,5.0,1,0 days 00:00:26.865000,0 days 00:00:17.792000,0 days 00:00:33.497000,False,78.154,26.865,17.792,33.497,18.0,2.0,Australian Grand Prix,2022
VET,Aston Martin,0 days 00:01:21.149000,SOFT,2.0,True,1.0,1,0 days 00:00:27.994000,0 days 00:00:18.148000,0 days 00:00:35.007000,False,81.149,27.994,18.148,35.007,19.0,17.0,Australian Grand Prix,2022
ZHO,Alfa Romeo,0 days 00:01:19.910000,SOFT,2.0,True,2.0,1,0 days 00:00:27.625000,0 days 00:00:18.204000,0 days 00:00:34.081000,False,79.91,27.625,18.204,34.081,11.0,14.0,Australian Grand Prix,2022
ALB,Williams,0 days 00:01:44.719000,SOFT,4.0,True,1.0,1,0 days 00:00:36.929000,0 days 00:00:42.325000,0 days 00:00:25.465000,False,104.719,36.929,42.325,25.465,12.0,17.0,Azerbaijan Grand Prix,2022
ALO,Alpine,0 days 00:01:43.173000,SOFT,2.0,True,7.0,1,0 days 00:00:36.435000,0 days 00:00:41.836000,0 days 00:00:24.902000,False,103.173,36.435,41.836,24.902,7.0,10.0,Azerbaijan Grand Prix,2022
BOT,Alfa Romeo,0 days 00:01:44.444000,SOFT,2.0,True,4.0,1,0 days 00:00:36.838000,0 days 00:00:42.121000,0 days 00:00:25.485000,False,104.444,36.838,42.121,25.485,11.0,15.0,Azerbaijan Grand Prix,2022
GAS,AlphaTauri,0 days 00:01:42.845000,SOFT,5.0,False,6.0,1,0 days 00:00:36.121000,0 days 00:00:41.377000,0 days 00:00:25.347000,False,102.845,36.121,41.377,25.347,5.0,6.0,Azerbaijan Grand Prix,2022
HAM,Mercedes,0 days 00:01:42.924000,SOFT,2.0,True,7.0,1,0 days 00:00:36.169000,0 days 00:00:41.410000,0 days 00:00:25.345000,False,102.924,36.169,41.41,25.345,4.0,7.0,Azerbaijan Grand Prix,2022
LAT,Williams,0 days 00:01:45.367000,SOFT,4.0,True,1.0,12,0 days 00:00:37.112000,0 days 00:00:42.996000,0 days 00:00:25.259000,False,105.367,37.112,42.996,25.259,15.0,18.0,Azerbaijan Grand Prix,2022
LEC,Ferrari,0 days 00:01:41.359000,SOFT,2.0,True,4.0,1,0 days 00:00:35.615000,0 days 00:00:40.670000,0 days 00:00:25.074000,False,101.359,35.615,40.67,25.074,19.0,1.0,Azerbaijan Grand Prix,2022
MAG,Haas F1 Team,0 days 00:01:44.643000,SOFT,2.0,True,1.0,12,0 days 00:00:36.927000,0 days 00:00:42.413000,0 days 00:00:25.303000,False,104.643,36.927,42.413,25.303,17.0,16.0,Azerbaijan Grand Prix,2022
MSC,Haas F1 Team,0 days 00:01:45.775000,SOFT,2.0,True,1.0,12,0 days 00:00:37.205000,0 days 00:00:43.183000,0 days 00:00:25.387000,False,105.775,37.205,43.183,25.387,14.0,20.0,Azerbaijan Grand Prix,2022
NOR,McLaren,0 days 00:01:43.398000,SOFT,2.0,True,5.0,1,0 days 00:00:36.236000,0 days 00:00:41.485000,0 days 00:00:25.677000,False,103.398,36.236,41.485,25.677,9.0,11.0,Azerbaijan Grand Prix,2022
OCO,Alpine,0 days 00:01:43.585000,SOFT,4.0,False,3.0,1,0 days 00:00:36.517000,0 days 00:00:42.068000,0 days 00:00:25,False,103.585,36.517,42.068,25.0,10.0,13.0,Azerbaijan Grand Prix,2022
PER,Red Bull Racing,0 days 00:01:41.641000,SOFT,2.0,True,4.0,1,0 days 00:00:35.642000,0 days 00:00:40.997000,0 days 00:00:25.002000,False,101.641,35.642,40.997,25.002,2.0,2.0,Azerbaijan Grand Prix,2022
RIC,McLaren,0 days 00:01:43.574000,SOFT,4.0,True,5.0,1,0 days 00:00:36.305000,0 days 00:00:41.734000,0 days 00:00:25.535000,False,103.574,36.305,41.734,25.535,8.0,12.0,Azerbaijan Grand Prix,2022
RUS,Mercedes,0 days 00:01:42.712000,SOFT,2.0,True,7.0,1,0 days 00:00:36.098000,0 days 00:00:41.363000,0 days 00:00:25.251000,False,102.712,36.098,41.363,25.251,3.0,5.0,Azerbaijan Grand Prix,2022
SAI,Ferrari,0 days 00:01:41.814000,SOFT,2.0,True,4.0,1,0 days 00:00:35.729000,0 days 00:00:41.057000,0 days 00:00:25.028000,False,101.814,35.729,41.057,25.028,20.0,4.0,Azerbaijan Grand Prix,2022
STR,Aston Martin,0 days 00:01:45.371000,SOFT,2.0,True,1.0,12,0 days 00:00:37.332000,0 days 00:00:42.718000,0 days 00:00:25.321000,False,105.371,37.332,42.718,25.321,16.0,19.0,Azerbaijan Grand Prix,2022
TSU,AlphaTauri,0 days 00:01:43.056000,SOFT,2.0,True,7.0,1,0 days 00:00:36.205000,0 days 00:00:41.519000,0 days 00:00:25.332000,False,103.056,36.205,41.519,25.332,13.0,8.0,Azerbaijan Grand Prix,2022
VER,Red Bull Racing,0 days 00:01:41.706000,SOFT,2.0,True,6.0,1,0 days 00:00:35.781000,0 days 00:00:41.042000,0 days 00:00:24.883000,False,101.706,35.781,41.042,24.883,1.0,3.0,Azerbaijan Grand Prix,2022
VET,Aston Martin,0 days 00:01:43.091000,SOFT,2.0,True,5.0,1,0 days 00:00:36.392000,0 days 00:00:41.604000,0 days 00:00:25.095000,False,103.091,36.392,41.604,25.095,6.0,9.0,Azerbaijan Grand Prix,2022
ZHO,Alfa Romeo,0 days 00:01:43.777000,SOFT,4.0,True,1.0,1,0 days 00:00:36.564000,0 days 00:00:41.940000,0 days 00:00:25.273000,False,103.777,36.564,41.94,25.273,18.0,14.0,Azerbaijan Grand Prix,2022
ALB,Williams,0 days 00:01:31.266000,SOFT,2.0,True,2.0,1,0 days 00:00:30.641000,0 days 00:00:34.810000,0 days 00:00:25.815000,False,91.266,30.641,34.81,25.815,9.0,18.0,Miami Grand Prix,2022
ALO,Alpine,0 days 00:01:30.160000,SOFT,2.0,True,4.0,1,0 days 00:00:29.773000,0 days 00:00:34.616000,0 days 00:00:25.771000,False,90.16,29.773,34.616,25.771,11.0,11.0,Miami Grand Prix,2022
BOT,Alfa Romeo,0 days 00:01:29.475000,SOFT,2.0,True,5.0,1,0 days 00:00:29.833000,0 days 00:00:34.074000,0 days 00:00:25.568000,False,89.475,29.833,34.074,25.568,7.0,5.0,Miami Grand Prix,2022
GAS,AlphaTauri,0 days 00:01:29.690000,SOFT,2.0,True,6.0,1,0 days 00:00:29.907000,0 days 00:00:34.246000,0 days 00:00:25.537000,False,89.69,29.907,34.246,25.537,18.0,7.0,Miami Grand Prix,2022
HAM,Mercedes,0 days 00:01:29.625000,SOFT,2.0,True,6.0,1,0 days 00:00:29.687000,0 days 00:00:34.290000,0 days 00:00:25.648000,False,89.625,29.687,34.29,25.648,6.0,6.0,Miami Grand Prix,2022
LAT,Williams,0 days 00:01:31.325000,SOFT,4.0,True,2.0,1,0 days 00:00:30.651000,0 days 00:00:34.834000,0 days 00:00:25.840000,False,91.325,30.651,34.834,25.84,14.0,19.0,Miami Grand Prix,2022
LEC,Ferrari,0 days 00:01:28.796000,SOFT,2.0,True,8.0,1,0 days 00:00:29.441000,0 days 00:00:33.831000,0 days 00:00:25.524000,False,88.796,29.441,33.831,25.524,2.0,1.0,Miami Grand Prix,2022
MAG,Haas F1 Team,0 days 00:01:30.975000,SOFT,9.0,True,1.0,1,0 days 00:00:30.523000,0 days 00:00:34.919000,0 days 00:00:25.533000,False,90.975,30.523,34.919,25.533,16.0,16.0,Miami Grand Prix,2022
MSC,Haas F1 Team,0 days 00:01:30.423000,SOFT,6.0,False,3.0,1,0 days 00:00:30.044000,0 days 00:00:34.532000,0 days 00:00:25.847000,False,90.423,30.044,34.532,25.847,15.0,15.0,Miami Grand Prix,2022
NOR,McLaren,0 days 00:01:29.634000,SOFT,2.0,True,4.0,1,0 days 00:00:29.709000,0 days 00:00:34.057000,0 days 00:00:25.868000,False,89.634,29.709,34.057,25.868,19.0,8.0,Miami Grand Prix,2022
PER,Red Bull Racing,0 days 00:01:29.036000,SOFT,2.0,True,6.0,1,0 days 00:00:29.635000,0 days 00:00:34.012000,0 days 00:00:25.389000,False,89.036,29.635,34.012,25.389,4.0,4.0,Miami Grand Prix,2022
RIC,McLaren,0 days 00:01:30.310000,SOFT,2.0,True,4.0,1,0 days 00:00:29.834000,0 days 00:00:34.501000,0 days 00:00:25.975000,False,90.31,29.834,34.501,25.975,13.0,14.0,Miami Grand Prix,2022
RUS,Mercedes,0 days 00:01:30.173000,SOFT,3.0,True,3.0,1,0 days 00:00:29.799000,0 days 00:00:34.559000,0 days 00:00:25.815000,False,90.173,29.799,34.559,25.815,5.0,12.0,Miami Grand Prix,2022
SAI,Ferrari,0 days 00:01:28.986000,SOFT,2.0,True,9.0,1,0 days 00:00:29.278000,0 days 00:00:34.017000,0 days 00:00:25.691000,False,88.986,29.278,34.017,25.691,3.0,2.0,Miami Grand Prix,2022
STR,Aston Martin,0 days 00:01:29.996000,SOFT,2.0,True,5.0,1,0 days 00:00:30.112000,0 days 00:00:34.357000,0 days 00:00:25.527000,False,89.996,30.112,34.357,25.527,10.0,0.0,Miami Grand Prix,2022
TSU,AlphaTauri,0 days 00:01:29.932000,SOFT,2.0,True,6.0,1,0 days 00:00:29.975000,0 days 00:00:34.286000,0 days 00:00:25.671000,False,89.932,29.975,34.286,25.671,12.0,9.0,Miami Grand Prix,2022
VER,Red Bull Racing,0 days 00:01:28.991000,SOFT,2.0,True,4.0,1,0 days 00:00:29.546000,0 days 00:00:33.977000,0 days 00:00:25.468000,False,88.991,29.546,33.977,25.468,1.0,3.0,Miami Grand Prix,2022
VET,Aston Martin,0 days 00:01:30.214000,SOFT,2.0,True,5.0,1,0 days 00:00:30.193000,0 days 00:00:34.403000,0 days 00:00:25.618000,False,90.214,30.193,34.403,25.618,17.0,0.0,Miami Grand Prix,2022
ZHO,Alfa Romeo,0 days 00:01:31.020000,SOFT,4.0,True,1.0,1,0 days 00:00:30.468000,0 days 00:00:34.531000,0 days 00:00:26.021000,False,91.02,30.468,34.531,26.021,20.0,17.0,Miami Grand Prix,2022
ALB,Williams,0 days 00:01:21.645000,SOFT,2.0,True,1.0,1,0 days 00:00:22.570000,0 days 00:00:30.748000,0 days 00:00:28.327000,False,81.645,22.57,30.748,28.327,18.0,18.0,Spanish Grand Prix,2022
ALO,Alpine,0 days 00:01:21.043000,SOFT,2.0,True,1.0,1,0 days 00:00:22.413000,0 days 00:00:30.540000,0 days 00:00:28.090000,False,81.043,22.413,30.54,28.09,9.0,20.0,Spanish Grand Prix,2022
BOT,Alfa Romeo,0 days 00:01:19.608000,SOFT,2.0,True,6.0,1,0 days 00:00:22.245000,0 days 00:00:29.920000,0 days 00:00:27.443000,False,79.608,22.245,29.92,27.443,6.0,7.0,Spanish Grand Prix,2022
GAS,AlphaTauri,0 days 00:01:20.719000,SOFT,2.0,True,3.0,1,0 days 00:00:22.304000,0 days 00:00:30.346000,0 days 00:00:28.069000,False,80.719,22.304,30.346,28.069,13.0,14.0,Spanish Grand Prix,2022
HAM,Mercedes,0 days 00:01:19.512000,SOFT,2.0,True,5.0,1,0 days 00:00:22.095000,0 days 00:00:29.596000,0 days 00:00:27.821000,False,79.512,22.095,29.596,27.821,5.0,6.0,Spanish Grand Prix,2022
LAT,Williams,0 days 00:01:21.915000,SOFT,2.0,True,2.0,1,0 days 00:00:22.517000,0 days 00:00:30.812000,0 days 00:00:28.586000,False,81.915,22.517,30.812,28.586,16.0,19.0,Spanish Grand Prix,2022
LEC,Ferrari,0 days 00:01:18.750000,SOFT,2.0,True,4.0,1,0 days 00:00:22.004000,0 days 00:00:29.410000,0 days 00:00:27.336000,False,78.75,22.004,29.41,27.336,20.0,1.0,Spanish Grand Prix,2022
MAG,Haas F1 Team,0 days 00:01:19.682000,SOFT,2.0,True,6.0,1,0 days 00:00:22.115000,0 days 00:00:30.006000,0 days 00:00:27.561000,False,79.682,22.115,30.006,27.561,17.0,8.0,Spanish Grand Prix,2022
MSC,Haas F1 Team,0 days 00:01:20.368000,SOFT,2.0,True,6.0,1,0 days 00:00:22.275000,0 days 00:00:30.205000,0 days 00:00:27.888000,False,80.368,22.275,30.205,27.888,14.0,10.0,Spanish Grand Prix,2022
NOR,McLaren,0 days 00:01:19.977000,SOFT,2.0,True,4.0,1,0 days 00:00:22.218000,0 days 00:00:29.991000,0 days 00:00:27.768000,True,79.977,22.218,29.991,27.768,8.0,11.0,Spanish Grand Prix,2022
OCO,Alpine,0 days 00:01:20.638000,SOFT,2.0,True,3.0,1,0 days 00:00:22.353000,0 days 00:00:30.389000,0 days 00:00:27.896000,False,80.638,22.353,30.389,27.896,7.0,12.0,Spanish Grand Prix,2022
PER,Red Bull Racing,0 days 00:01:19.420000,SOFT,2.0,True,6.0,1,0 days 00:00:22.194000,0 days 00:00:29.761000,0 days 00:00:27.465000,False,79.42,22.194,29.761,27.465,2.0,5.0,Spanish Grand Prix,2022
RIC,McLaren,0 days 00:01:20.287000,SOFT,2.0,True,4.0,1,0 days 00:00:22.243000,0 days 00:00:30.158000,0 days 00:00:27.886000,False,80.287,22.243,30.158,27.886,12.0,9.0,Spanish Grand Prix,2022
RUS,Mercedes,0 days 00:01:19.393000,SOFT,2.0,True,5.0,1,0 days 00:00:21.936000,0 days 00:00:29.735000,0 days 00:00:27.722000,False,79.393,21.936,29.735,27.722,3.0,4.0,Spanish Grand Prix,2022
SAI,Ferrari,0 days 00:01:19.166000,SOFT,2.0,True,5.0,1,0 days 00:00:22.189000,0 days 00:00:29.583000,0 days 00:00:27.394000,False,79.166,22.189,29.583,27.394,4.0,3.0,Spanish Grand Prix,2022
STR,Aston Martin,0 days 00:01:21.418000,SOFT,2.0,True,2.0,1,0 days 00:00:22.611000,0 days 00:00:30.410000,0 days 00:00:28.397000,False,81.418,22.611,30.41,28.397,15.0,17.0,Spanish Grand Prix,2022
TSU,AlphaTauri,0 days 00:01:20.639000,SOFT,2.0,True,5.0,1,0 days 00:00:22.262000,0 days 00:00:30.393000,0 days 00:00:27.984000,False,80.639,22.262,30.393,27.984,10.0,13.0,Spanish Grand Prix,2022
VER,Red Bull Racing,0 days 00:01:19.073000,SOFT,2.0,True,4.0,1,0 days 00:00:21.978000,0 days 00:00:29.684000,0 days 00:00:27.411000,False,79.073,21.978,29.684,27.411,1.0,2.0,Spanish Grand Prix,2022
VET,Aston Martin,0 days 00:01:20.954000,SOFT,2.0,True,2.0,1,0 days 00:00:22.433000,0 days 00:00:30.324000,0 days 00:00:28.197000,False,80.954,22.433,30.324,28.197,11.0,16.0,Spanish Grand Prix,2022
ZHO,Alfa Romeo,0 days 00:01:20.476000,SOFT,2.0,True,3.0,1,0 days 00:00:22.376000,0 days 00:00:30.230000,0 days 00:00:27.870000,False,80.476,22.376,30.23,27.87,19.0,15.0,Spanish Grand Prix,2022
ALB,Williams,0 days 00:01:13.611000,SOFT,2.0,True,3.0,1,0 days 00:00:19.518000,0 days 00:00:34.728000,0 days 00:00:19.365000,False,73.611,19.518,34.728,19.365,18.0,16.0,Monaco Grand Prix,2022
ALO,Alpine,0 days 00:01:12.247000,SOFT,2.0,True,6.0,1,0 days 00:00:19.080000,0 days 00:00:34.086000,0 days 00:00:19.081000,False,72.247,19.08,34.086,19.081,7.0,7.0,Monaco Grand Prix,2022
BOT,Alfa Romeo,0 days 00:01:12.909000,SOFT,2.0,True,5.0,1,0 days 00:00:19.310000,0 days 00:00:34.445000,0 days 00:00:19.154000,False,72.909,19.31,34.445,19.154,9.0,12.0,Monaco Grand Prix,2022
GAS,AlphaTauri,0 days 00:01:13.660000,SOFT,5.0,True,1.0,1,0 days 00:00:19.710000,0 days 00:00:34.553000,0 days 00:00:19.397000,False,73.66,19.71,34.553,19.397,11.0,17.0,Monaco Grand Prix,2022
HAM,Mercedes,0 days 00:01:12.560000,SOFT,7.0,False,6.0,12,0 days 00:00:19.142000,0 days 00:00:34.230000,0 days 00:00:19.188000,False,72.56,19.142,34.23,19.188,8.0,8.0,Monaco Grand Prix,2022
LAT,Williams,0 days 00:01:14.403000,SOFT,2.0,True,3.0,1,0 days 00:00:19.904000,0 days 00:00:35.010000,0 days 00:00:19.489000,False,74.403,19.904,35.01,19.489,15.0,19.0,Monaco Grand Prix,2022
LEC,Ferrari,0 days 00:01:11.376000,SOFT,2.0,True,4.0,1,0 days 00:00:18.872000,0 days 00:00:33.738000,0 days 00:00:18.766000,False,71.376,18.872,33.738,18.766,4.0,1.0,Monaco Grand Prix,2022
MAG,Haas F1 Team,0 days 00:01:12.921000,SOFT,3.0,True,5.0,1,0 days 00:00:19.406000,0 days 00:00:34.037000,0 days 00:00:19.478000,False,72.921,19.406,34.037,19.478,20.0,13.0,Monaco Grand Prix,2022
MSC,Haas F1 Team,0 days 00:01:13.081000,SOFT,3.0,True,5.0,1,0 days 00:00:19.297000,0 days 00:00:34.393000,0 days 00:00:19.391000,False,73.081,19.297,34.393,19.391,19.0,15.0,Monaco Grand Prix,2022
NOR,McLaren,0 days 00:01:11.849000,SOFT,2.0,True,7.0,1,0 days 00:00:19.126000,0 days 00:00:33.770000,0 days 00:00:18.953000,False,71.849,19.126,33.77,18.953,6.0,5.0,Monaco Grand Prix,2022
OCO,Alpine,0 days 00:01:12.528000,SOFT,2.0,True,5.0,1,0 days 00:00:19.294000,0 days 00:00:34.084000,0 days 00:00:19.150000,False,72.528,19.294,34.084,19.15,12.0,10.0,Monaco Grand Prix,2022
PER,Red Bull Racing,0 days 00:01:11.629000,SOFT,2.0,True,5.0,12,0 days 00:00:18.909000,0 days 00:00:33.891000,0 days 00:00:18.829000,False,71.629,18.909,33.891,18.829,1.0,3.0,Monaco Grand Prix,2022
RIC,McLaren,0 days 00:01:12.964000,SOFT,4.0,True,5.0,1,0 days 00:00:19.447000,0 days 00:00:34.357000,0 days 00:00:19.160000,False,72.964,19.447,34.357,19.16,13.0,14.0,Monaco Grand Prix,2022
RUS,Mercedes,0 days 00:01:12.112000,SOFT,2.0,True,6.0,1,0 days 00:00:18.981000,0 days 00:00:34.016000,0 days 00:00:19.115000,False,72.112,18.981,34.016,19.115,5.0,6.0,Monaco Grand Prix,2022
SAI,Ferrari,0 days 00:01:11.601000,SOFT,2.0,True,4.0,1,0 days 00:00:18.964000,0 days 00:00:33.738000,0 days 00:00:18.899000,False,71.601,18.964,33.738,18.899,2.0,2.0,Monaco Grand Prix,2022
STR,Aston Martin,0 days 00:01:13.678000,SOFT,2.0,True,2.0,1,0 days 00:00:19.612000,0 days 00:00:34.571000,0 days 00:00:19.495000,False,73.678,19.612,34.571,19.495,14.0,18.0,Monaco Grand Prix,2022
